VID,Type,Brand,Model,Year,Seats,Range,Quantity,Price,Description
017a7b9c-4d73-464f-9dbc-ea59235e0bdf,SUV,Tata Motors,Nexon EV Prime,2025,5,151,1,22000.00,"Engines: Permanent Magnet Synchronous
CC/Battery Capacity kwh: 30.2
HorsePower: 129
Top Speed km/h: 120
Performance(0 - 100 )KM/H: 9.4
Torque: 245 Nm"
075033fe-a25b-49cd-a53d-7c3a63cc62a4,Crossover,Porsche,Taycan Sport Turismo Base,2025,4,396,7,90500.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 79.2
HorsePower: 375
Top Speed km/h: 230
Performance(0 - 100 )KM/H: 5.4
Torque: 500 Nm"
09356bb9-023f-4aee-82b5-d9ac44798d07,Truck,GMC,Hummer EV Adventure Series,2025,5,1000,8,105000.00,"Engines: Electric motors with up to 11,500 lb-ft torque
CC/Battery Capacity kwh: 200
HorsePower: 830
Top Speed km/h: 170
Performance(0 - 100 )KM/H: 3.6
Torque: 15,590 Nm"
0addb38e-8c84-49af-95d2-ab2e37d29a5c,SUV,Nissan,Ariya Lounge Edition,2025,5,435,8,63000.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 87
HorsePower: 389
Top Speed km/h: 200
Performance(0 - 100 )KM/H: 5.1
Torque: 600 Nm"
0b7505bf-c7a2-4d6a-b1a3-3be91bfac4e2,Luxury,Tesla,Model S,2025,5,500,3,88490.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 100
HorsePower: 670
Top Speed km/h: 250
Performance(0 - 100 )KM/H: 3.1
Torque: 967 Nm"
0ddab059-fbcb-4c71-a6ca-ce1a42a75f92,Crossover,Volkswagen,ID. Buzz Pro,2025,7,385,5,60000.00,"Engines: Electric
CC/Battery Capacity kwh: 77
HorsePower: 204
Top Speed km/h: 145
Performance(0 - 100 )KM/H: 10.2
Torque: 310 Nm"
0f26dd06-d314-41e2-9ec6-82e88ea6f27c,SUV,Nissan,Ariya Dual Motor AWD,2024,5,435,5,70000.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 87
HorsePower: 389
Top Speed km/h: 200
Performance(0 - 100 )KM/H: 5.1
Torque: 600 Nm"
10be1891-5301-4802-b172-ca40a8d10a52,Hatchback,Volkswagen,ID.3,2025,5,290,1,35000.00,"Engines: Electric
CC/Battery Capacity kwh: 58
HorsePower: 204
Top Speed km/h: 160
Performance(0 - 100 )KM/H: 7.3
Torque: 310 Nm"
14d56e9f-f604-4291-8960-268ebebb3e7e,SUV,Ford,Mustang Mach-E (Long Range),2025,5,490,6,61000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 98
HorsePower: 480
Top Speed km/h: 180
Performance(0 - 100 )KM/H: 3.5
Torque: 430 Nm (GT Model)"
16e1ad01-3a88-42f6-a031-03508aa8171a,Crossover,Kia,EV6 AWD GT-Line,2025,5,387,9,60000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 77.4
HorsePower: 320
Top Speed km/h: 230
Performance(0 - 100 )KM/H: 5
Torque: 450 Nm"
1757c620-7547-41be-912b-27012a3cd3e2,Luxury,Jeep,Wagoneer S (Electric),2025,5,500,10,80000.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 100
HorsePower: 600
Top Speed km/h: 177
Performance(0 - 100 )KM/H: 4.5
Torque: 850 Nm"
1aacf421-76ca-4c3a-bd5c-a33714a1289c,Sedan,Porsche,Taycan Turbo S,2025,4,467,2,185000.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 93.4
HorsePower: 750
Top Speed km/h: 260
Performance(0 - 100 )KM/H: 2.8
Torque: 1050 Nm"
1e611254-ecbb-4b50-868c-a72ec95a3197,Crossover,Kia,EV6 GT Performance,2025,5,387,2,65000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 77.4
HorsePower: 577
Top Speed km/h: 260
Performance(0 - 100 )KM/H: 3.5
Torque: 740 Nm"
1e8e3a8f-2799-463c-91a8-682787943569,Crossover,Tesla,Model Y Long Range,2025,5,410,4,50490.00,"Engines: Dual Electric Motors (AWD)
CC/Battery Capacity kwh: 82
HorsePower: 384
Top Speed km/h: 217
Performance(0 - 100 )KM/H: 4.8
Torque: 559 Nm"
